level,time_ms,rollout_mode,heuristic_mode,selection_mode,loss_heuristic,ucb_const,threads,num_games,num_wins,win_rate,lower_bound,upper_bound
9+,100,parallel max,no heuristic,full expand,no heuristic,0.004,2,730,2,0.0027397260273972,0.0,0.01
9+,200,parallel max,no heuristic,full expand,no heuristic,0.004,2,730,38,0.0520547945205479,0.04,0.07
9+,300,parallel max,no heuristic,full expand,no heuristic,0.004,2,730,72,0.0986301369863013,0.08,0.12
9+,400,parallel max,no heuristic,full expand,no heuristic,0.004,2,1047,159,0.1518624641833811,0.13,0.17
9+,500,parallel max,no heuristic,full expand,no heuristic,0.004,2,1045,207,0.1980861244019138,0.18,0.22
9+,600,parallel max,no heuristic,full expand,no heuristic,0.004,2,1764,406,0.2301587301587301,0.21,0.25
9+,700,parallel max,no heuristic,full expand,no heuristic,0.004,2,1045,278,0.2660287081339713,0.24,0.29
9+,800,parallel max,no heuristic,full expand,no heuristic,0.004,2,1045,316,0.3023923444976076,0.28,0.33
9+,1600,parallel max,no heuristic,full expand,no heuristic,0.004,2,1766,737,0.4173272933182333,0.39,0.44
9+,100,parallel max,no heuristic,full expand,no heuristic,0.004,4,730,8,0.010958904109589,0.01,0.02
9+,200,parallel max,no heuristic,full expand,no heuristic,0.004,4,1045,135,0.1291866028708134,0.11,0.15
9+,300,parallel max,no heuristic,full expand,no heuristic,0.004,4,1047,277,0.2645654250238777,0.24,0.29
9+,400,parallel max,no heuristic,full expand,no heuristic,0.004,4,1046,350,0.3346080305927342,0.31,0.36
9+,500,parallel max,no heuristic,full expand,no heuristic,0.004,4,1766,721,0.4082672706681767,0.39,0.43
9+,600,parallel max,no heuristic,full expand,no heuristic,0.004,4,1767,816,0.4617996604414261,0.44,0.49
9+,700,parallel max,no heuristic,full expand,no heuristic,0.004,4,1766,865,0.4898074745186863,0.47,0.51
9+,800,parallel max,no heuristic,full expand,no heuristic,0.004,4,1766,940,0.5322763306908267,0.51,0.56
9+,1600,parallel max,no heuristic,full expand,no heuristic,0.004,4,1764,1165,0.6604308390022676,0.64,0.68
9+,100,parallel max,no heuristic,full expand,no heuristic,0.004,8,1056,17,0.0160984848484848,0.01,0.03
9+,200,parallel max,no heuristic,full expand,no heuristic,0.004,8,1056,231,0.21875,0.19,0.24
9+,300,parallel max,no heuristic,full expand,no heuristic,0.004,8,1373,630,0.4588492352512746,0.43,0.49
9+,400,parallel max,no heuristic,full expand,no heuristic,0.004,8,2093,1192,0.5695174390826565,0.55,0.59
9+,500,parallel max,no heuristic,full expand,no heuristic,0.004,8,1168,778,0.666095890410959,0.64,0.69
9+,600,parallel max,no heuristic,full expand,no heuristic,0.004,8,1890,1348,0.7132275132275132,0.69,0.73
9+,700,parallel max,no heuristic,full expand,no heuristic,0.004,8,1889,1408,0.745367919534145,0.73,0.76
9+,800,parallel max,no heuristic,full expand,no heuristic,0.004,8,2089,1614,0.7726184777405457,0.75,0.79
9+,1600,parallel max,no heuristic,full expand,no heuristic,0.004,8,1130,962,0.8513274336283185,0.83,0.87
9+,100,normal,no heuristic,full expand,no heuristic,0.004,8,2254,26,0.0115350488021295,0.01,0.02
9+,200,normal,no heuristic,full expand,no heuristic,0.004,8,2254,95,0.0421472937000887,0.03,0.05
9+,300,normal,no heuristic,full expand,no heuristic,0.004,8,2254,191,0.0847382431233362,0.07,0.1
9+,400,normal,no heuristic,full expand,no heuristic,0.004,8,2871,262,0.0912574016022291,0.08,0.1
9+,500,normal,no heuristic,full expand,no heuristic,0.004,8,2049,229,0.1117618350414836,0.1,0.13
9+,600,normal,no heuristic,full expand,no heuristic,0.004,8,2049,267,0.130307467057101,0.12,0.15
9+,700,normal,no heuristic,full expand,no heuristic,0.004,8,2049,320,0.1561737432894094,0.14,0.17
9+,800,normal,no heuristic,full expand,no heuristic,0.004,8,2250,369,0.164,0.15,0.18
9+,1600,normal,no heuristic,full expand,no heuristic,0.004,8,2327,578,0.2483884830253545,0.23,0.27
9+,100,parallel trees,no heuristic,full expand,no heuristic,0.004,2,623,0,0.0,0.0,0.01
9+,200,parallel trees,no heuristic,full expand,no heuristic,0.004,2,623,25,0.0401284109149277,0.03,0.06
9+,300,parallel trees,no heuristic,full expand,no heuristic,0.004,2,1660,269,0.1620481927710843,0.15,0.18
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.004,2,1661,371,0.2233594220349187,0.2,0.24
9+,500,parallel trees,no heuristic,full expand,no heuristic,0.004,2,1661,451,0.271523178807947,0.25,0.29
9+,600,parallel trees,no heuristic,full expand,no heuristic,0.004,2,1661,524,0.3154726068633353,0.29,0.34
9+,700,parallel trees,no heuristic,full expand,no heuristic,0.004,2,1662,612,0.3682310469314079,0.35,0.39
9+,800,parallel trees,no heuristic,full expand,no heuristic,0.004,2,1663,659,0.3962717979555021,0.37,0.42
9+,1600,parallel trees,no heuristic,full expand,no heuristic,0.004,2,1661,803,0.4834437086092715,0.46,0.51
9+,100,parallel trees,no heuristic,full expand,no heuristic,0.004,4,622,0,0.0,0.0,0.01
9+,200,parallel trees,no heuristic,full expand,no heuristic,0.004,4,938,110,0.1172707889125799,0.1,0.14
9+,300,parallel trees,no heuristic,full expand,no heuristic,0.004,4,1661,571,0.3437688139674895,0.32,0.37
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.004,4,1661,750,0.4515352197471403,0.43,0.48
9+,500,parallel trees,no heuristic,full expand,no heuristic,0.004,4,1661,853,0.5135460565924143,0.49,0.54
9+,600,parallel trees,no heuristic,full expand,no heuristic,0.004,4,1660,933,0.5620481927710843,0.54,0.59
9+,700,parallel trees,no heuristic,full expand,no heuristic,0.004,4,1660,975,0.5873493975903614,0.56,0.61
9+,800,parallel trees,no heuristic,full expand,no heuristic,0.004,4,1661,1023,0.6158940397350994,0.59,0.64
9+,1600,parallel trees,no heuristic,full expand,no heuristic,0.004,4,1659,1140,0.6871609403254972,0.66,0.71
9+,100,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1056,6,0.0056818181818181,0.0,0.01
9+,200,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1372,341,0.2485422740524781,0.23,0.27
9+,300,parallel trees,no heuristic,full expand,no heuristic,0.004,8,2721,1377,0.5060639470782801,0.49,0.52
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.004,8,2093,1289,0.6158623984710941,0.59,0.64
9+,500,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1890,1224,0.6476190476190476,0.63,0.67
9+,600,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1890,1361,0.7201058201058201,0.7,0.74
9+,700,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1889,1381,0.7310746426680783,0.71,0.75
9+,800,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1369,1026,0.7494521548575602,0.73,0.77
9+,1600,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1130,940,0.831858407079646,0.81,0.85
9+,100,normal,no heuristic,full expand,no heuristic,0.004,8,2254,26,0.0115350488021295,0.01,0.02
9+,200,normal,no heuristic,full expand,no heuristic,0.004,8,2254,95,0.0421472937000887,0.03,0.05
9+,300,normal,no heuristic,full expand,no heuristic,0.004,8,2254,191,0.0847382431233362,0.07,0.1
9+,400,normal,no heuristic,full expand,no heuristic,0.004,8,2871,262,0.0912574016022291,0.08,0.1
9+,500,normal,no heuristic,full expand,no heuristic,0.004,8,2049,229,0.1117618350414836,0.1,0.13
9+,600,normal,no heuristic,full expand,no heuristic,0.004,8,2049,267,0.130307467057101,0.12,0.15
9+,700,normal,no heuristic,full expand,no heuristic,0.004,8,2049,320,0.1561737432894094,0.14,0.17
9+,800,normal,no heuristic,full expand,no heuristic,0.004,8,2250,369,0.164,0.15,0.18
9+,1600,normal,no heuristic,full expand,no heuristic,0.004,8,2327,578,0.2483884830253545,0.23,0.27
9+,100,normal,no heuristic,square ratio,no heuristic,0.004,8,215,0,0.0,0.0,0.02
9+,200,normal,no heuristic,square ratio,no heuristic,0.004,8,530,17,0.0320754716981132,0.02,0.05
9+,300,normal,no heuristic,square ratio,no heuristic,0.004,8,532,46,0.0864661654135338,0.07,0.11
9+,400,normal,no heuristic,square ratio,no heuristic,0.004,8,1252,108,0.0862619808306709,0.07,0.1
9+,500,normal,no heuristic,square ratio,no heuristic,0.004,8,1002,108,0.1077844311377245,0.09,0.13
9+,600,normal,no heuristic,square ratio,no heuristic,0.004,8,1002,140,0.1397205588822355,0.12,0.16
9+,700,normal,no heuristic,square ratio,no heuristic,0.004,8,1002,150,0.1497005988023952,0.13,0.17
9+,800,normal,no heuristic,square ratio,no heuristic,0.004,8,740,120,0.1621621621621621,0.14,0.19
9+,1600,normal,no heuristic,square ratio,no heuristic,0.004,8,1329,305,0.2294958615500376,0.21,0.25
9+,100,parallel max,no heuristic,full expand,no heuristic,0.004,8,1056,17,0.0160984848484848,0.01,0.03
9+,200,parallel max,no heuristic,full expand,no heuristic,0.004,8,1056,231,0.21875,0.19,0.24
9+,300,parallel max,no heuristic,full expand,no heuristic,0.004,8,1373,630,0.4588492352512746,0.43,0.49
9+,400,parallel max,no heuristic,full expand,no heuristic,0.004,8,2093,1192,0.5695174390826565,0.55,0.59
9+,500,parallel max,no heuristic,full expand,no heuristic,0.004,8,1168,778,0.666095890410959,0.64,0.69
9+,600,parallel max,no heuristic,full expand,no heuristic,0.004,8,1890,1348,0.7132275132275132,0.69,0.73
9+,700,parallel max,no heuristic,full expand,no heuristic,0.004,8,1889,1408,0.745367919534145,0.73,0.76
9+,800,parallel max,no heuristic,full expand,no heuristic,0.004,8,2089,1614,0.7726184777405457,0.75,0.79
9+,1600,parallel max,no heuristic,full expand,no heuristic,0.004,8,1130,962,0.8513274336283185,0.83,0.87
9+,100,parallel max,no heuristic,square ratio,no heuristic,0.004,8,558,50,0.089605734767025,0.07,0.12
9+,200,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1597,483,0.3024420788979336,0.28,0.33
9+,300,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1599,760,0.4752970606629143,0.45,0.5
9+,400,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1599,944,0.590368980612883,0.57,0.61
9+,500,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1396,914,0.6547277936962751,0.63,0.68
9+,600,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1396,998,0.7148997134670487,0.69,0.74
9+,700,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1396,1052,0.7535816618911175,0.73,0.78
9+,800,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1596,1208,0.7568922305764411,0.74,0.78
9+,1600,parallel max,no heuristic,square ratio,no heuristic,0.004,8,949,800,0.8429926238145417,0.82,0.86
9+,100,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1056,6,0.0056818181818181,0.0,0.01
9+,200,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1372,341,0.2485422740524781,0.23,0.27
9+,300,parallel trees,no heuristic,full expand,no heuristic,0.004,8,2721,1377,0.5060639470782801,0.49,0.52
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.004,8,2093,1289,0.6158623984710941,0.59,0.64
9+,500,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1890,1224,0.6476190476190476,0.63,0.67
9+,600,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1890,1361,0.7201058201058201,0.7,0.74
9+,700,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1889,1381,0.7310746426680783,0.71,0.75
9+,800,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1369,1026,0.7494521548575602,0.73,0.77
9+,1600,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1130,940,0.831858407079646,0.81,0.85
9+,100,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,558,43,0.0770609318996415,0.06,0.1
9+,200,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1597,606,0.3794614902943018,0.36,0.4
9+,300,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1599,844,0.5278298936835523,0.5,0.55
9+,400,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1598,973,0.6088861076345432,0.58,0.63
9+,500,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1396,943,0.6755014326647565,0.65,0.7
9+,600,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1396,979,0.7012893982808023,0.68,0.72
9+,700,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1396,1033,0.7399713467048711,0.72,0.76
9+,800,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1596,1179,0.7387218045112782,0.72,0.76
9+,1600,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,949,769,0.8103266596417281,0.78,0.83
9+,100,parallel max,no heuristic,full expand,no heuristic,0.004,8,1056,17,0.0160984848484848,0.01,0.03
9+,200,parallel max,no heuristic,full expand,no heuristic,0.004,8,1056,231,0.21875,0.19,0.24
9+,300,parallel max,no heuristic,full expand,no heuristic,0.004,8,1373,630,0.4588492352512746,0.43,0.49
9+,400,parallel max,no heuristic,full expand,no heuristic,0.004,8,2093,1192,0.5695174390826565,0.55,0.59
9+,500,parallel max,no heuristic,full expand,no heuristic,0.004,8,1168,778,0.666095890410959,0.64,0.69
9+,600,parallel max,no heuristic,full expand,no heuristic,0.004,8,1890,1348,0.7132275132275132,0.69,0.73
9+,700,parallel max,no heuristic,full expand,no heuristic,0.004,8,1889,1408,0.745367919534145,0.73,0.76
9+,800,parallel max,no heuristic,full expand,no heuristic,0.004,8,2089,1614,0.7726184777405457,0.75,0.79
9+,1600,parallel max,no heuristic,full expand,no heuristic,0.004,8,1130,962,0.8513274336283185,0.83,0.87
9+,100,parallel max,no heuristic,square ratio,no heuristic,0.004,8,558,50,0.089605734767025,0.07,0.12
9+,200,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1597,483,0.3024420788979336,0.28,0.33
9+,300,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1599,760,0.4752970606629143,0.45,0.5
9+,400,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1599,944,0.590368980612883,0.57,0.61
9+,500,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1396,914,0.6547277936962751,0.63,0.68
9+,600,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1396,998,0.7148997134670487,0.69,0.74
9+,700,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1396,1052,0.7535816618911175,0.73,0.78
9+,800,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1596,1208,0.7568922305764411,0.74,0.78
9+,1600,parallel max,no heuristic,square ratio,no heuristic,0.004,8,949,800,0.8429926238145417,0.82,0.86
9+,100,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1056,6,0.0056818181818181,0.0,0.01
9+,200,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1372,341,0.2485422740524781,0.23,0.27
9+,300,parallel trees,no heuristic,full expand,no heuristic,0.004,8,2721,1377,0.5060639470782801,0.49,0.52
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.004,8,2093,1289,0.6158623984710941,0.59,0.64
9+,500,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1890,1224,0.6476190476190476,0.63,0.67
9+,600,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1890,1361,0.7201058201058201,0.7,0.74
9+,700,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1889,1381,0.7310746426680783,0.71,0.75
9+,800,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1369,1026,0.7494521548575602,0.73,0.77
9+,1600,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1130,940,0.831858407079646,0.81,0.85
9+,100,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,558,43,0.0770609318996415,0.06,0.1
9+,200,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1597,606,0.3794614902943018,0.36,0.4
9+,300,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1599,844,0.5278298936835523,0.5,0.55
9+,400,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1598,973,0.6088861076345432,0.58,0.63
9+,500,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1396,943,0.6755014326647565,0.65,0.7
9+,600,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1396,979,0.7012893982808023,0.68,0.72
9+,700,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1396,1033,0.7399713467048711,0.72,0.76
9+,800,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1596,1179,0.7387218045112782,0.72,0.76
9+,1600,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,949,769,0.8103266596417281,0.78,0.83
9++,100,normal,no heuristic,full expand,no heuristic,0.004,8,2249,1,0.0004446420631391,0.0,0.0
9++,200,normal,no heuristic,full expand,no heuristic,0.004,8,2249,13,0.0057803468208092,0.0,0.01
9++,300,normal,no heuristic,full expand,no heuristic,0.004,8,2249,23,0.0102267674522009,0.01,0.02
9++,400,normal,no heuristic,full expand,no heuristic,0.004,8,2865,62,0.0216404886561954,0.02,0.03
9++,500,normal,no heuristic,full expand,no heuristic,0.004,8,2047,60,0.0293111871030776,0.02,0.04
9++,600,normal,no heuristic,full expand,no heuristic,0.004,8,2045,97,0.0474327628361858,0.04,0.06
9++,700,normal,no heuristic,full expand,no heuristic,0.004,8,2045,96,0.0469437652811736,0.04,0.06
9++,800,normal,no heuristic,full expand,no heuristic,0.004,8,2242,131,0.0584299732381801,0.05,0.07
9++,1600,normal,no heuristic,full expand,no heuristic,0.004,8,2322,212,0.0913006029285099,0.08,0.1
9++,100,normal,no heuristic,square ratio,no heuristic,0.004,8,213,1,0.0046948356807511,0.0,0.03
9++,200,normal,no heuristic,square ratio,no heuristic,0.004,8,213,2,0.0093896713615023,0.0,0.03
9++,300,normal,no heuristic,square ratio,no heuristic,0.004,8,213,1,0.0046948356807511,0.0,0.03
9++,400,normal,no heuristic,square ratio,no heuristic,0.004,8,212,3,0.0141509433962264,0.0,0.04
9++,500,normal,no heuristic,square ratio,no heuristic,0.004,8,1249,38,0.0304243394715772,0.02,0.04
9++,600,normal,no heuristic,square ratio,no heuristic,0.004,8,1249,47,0.0376301040832666,0.03,0.05
9++,700,normal,no heuristic,square ratio,no heuristic,0.004,8,1249,39,0.0312249799839871,0.02,0.04
9++,800,normal,no heuristic,square ratio,no heuristic,0.004,8,525,21,0.04,0.03,0.06
9++,1600,normal,no heuristic,square ratio,no heuristic,0.004,8,290,17,0.0586206896551724,0.04,0.09
9++,100,parallel max,no heuristic,full expand,no heuristic,0.004,8,1052,1,0.0009505703422053,0.0,0.01
9++,200,parallel max,no heuristic,full expand,no heuristic,0.004,8,1052,16,0.0152091254752851,0.01,0.02
9++,300,parallel max,no heuristic,full expand,no heuristic,0.004,8,1052,82,0.0779467680608365,0.06,0.1
9++,400,parallel max,no heuristic,full expand,no heuristic,0.004,8,1051,165,0.1569933396764985,0.14,0.18
9++,500,parallel max,no heuristic,full expand,no heuristic,0.004,8,850,190,0.2235294117647059,0.2,0.25
9++,600,parallel max,no heuristic,full expand,no heuristic,0.004,8,1165,315,0.2703862660944206,0.25,0.3
9++,700,parallel max,no heuristic,full expand,no heuristic,0.004,8,1165,381,0.327038626609442,0.3,0.35
9++,800,parallel max,no heuristic,full expand,no heuristic,0.004,8,1361,535,0.3930933137398971,0.37,0.42
9++,1600,parallel max,no heuristic,full expand,no heuristic,0.004,8,2161,1355,0.6270245256825544,0.61,0.65
9++,100,parallel max,no heuristic,square ratio,no heuristic,0.004,8,556,4,0.0071942446043165,0.0,0.02
9++,200,parallel max,no heuristic,square ratio,no heuristic,0.004,8,556,54,0.0971223021582733,0.08,0.12
9++,300,parallel max,no heuristic,square ratio,no heuristic,0.004,8,871,122,0.140068886337543,0.12,0.16
9++,400,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1593,358,0.2247332077840552,0.2,0.25
9++,500,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1396,385,0.2757879656160458,0.25,0.3
9++,600,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1604,505,0.3148379052369077,0.29,0.34
9++,700,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1396,528,0.3782234957020057,0.35,0.4
9++,800,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1591,649,0.4079195474544311,0.38,0.43
9++,1600,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1671,1040,0.6223818073010173,0.6,0.65
9++,100,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1052,0,0.0,0.0,0.0
9++,200,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1052,4,0.0038022813688212,0.0,0.01
9++,300,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1052,25,0.023764258555133,0.02,0.03
9++,400,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1051,54,0.0513796384395813,0.04,0.07
9++,500,parallel trees,no heuristic,full expand,no heuristic,0.004,8,850,100,0.1176470588235294,0.1,0.14
9++,600,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1164,302,0.2594501718213058,0.24,0.29
9++,700,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1164,542,0.4656357388316151,0.44,0.49
9++,800,parallel trees,no heuristic,full expand,no heuristic,0.004,8,2082,1110,0.5331412103746398,0.51,0.55
9++,1600,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1124,769,0.6841637010676157,0.66,0.71
9++,100,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,556,2,0.0035971223021582,0.0,0.01
9++,200,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,556,39,0.0701438848920863,0.05,0.09
9++,300,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1592,375,0.2355527638190954,0.22,0.26
9++,400,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1593,510,0.32015065913371,0.3,0.34
9++,500,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1604,668,0.4164588528678304,0.39,0.44
9++,600,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1607,767,0.477286869943995,0.45,0.5
9++,700,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1395,711,0.5096774193548387,0.48,0.54
9++,800,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1593,880,0.5524168236032643,0.53,0.58
9++,1600,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1669,1152,0.6902336728579987,0.67,0.71
9++,100,parallel max,no heuristic,full expand,no heuristic,0.004,8,1052,1,0.0009505703422053,0.0,0.01
9++,200,parallel max,no heuristic,full expand,no heuristic,0.004,8,1052,16,0.0152091254752851,0.01,0.02
9++,300,parallel max,no heuristic,full expand,no heuristic,0.004,8,1052,82,0.0779467680608365,0.06,0.1
9++,400,parallel max,no heuristic,full expand,no heuristic,0.004,8,1051,165,0.1569933396764985,0.14,0.18
9++,500,parallel max,no heuristic,full expand,no heuristic,0.004,8,850,190,0.2235294117647059,0.2,0.25
9++,600,parallel max,no heuristic,full expand,no heuristic,0.004,8,1165,315,0.2703862660944206,0.25,0.3
9++,700,parallel max,no heuristic,full expand,no heuristic,0.004,8,1165,381,0.327038626609442,0.3,0.35
9++,800,parallel max,no heuristic,full expand,no heuristic,0.004,8,1361,535,0.3930933137398971,0.37,0.42
9++,1600,parallel max,no heuristic,full expand,no heuristic,0.004,8,2161,1355,0.6270245256825544,0.61,0.65
9++,100,parallel max,no heuristic,square ratio,no heuristic,0.004,8,556,4,0.0071942446043165,0.0,0.02
9++,200,parallel max,no heuristic,square ratio,no heuristic,0.004,8,556,54,0.0971223021582733,0.08,0.12
9++,300,parallel max,no heuristic,square ratio,no heuristic,0.004,8,871,122,0.140068886337543,0.12,0.16
9++,400,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1593,358,0.2247332077840552,0.2,0.25
9++,500,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1396,385,0.2757879656160458,0.25,0.3
9++,600,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1604,505,0.3148379052369077,0.29,0.34
9++,700,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1396,528,0.3782234957020057,0.35,0.4
9++,800,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1591,649,0.4079195474544311,0.38,0.43
9++,1600,parallel max,no heuristic,square ratio,no heuristic,0.004,8,1671,1040,0.6223818073010173,0.6,0.65
9++,100,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1052,0,0.0,0.0,0.0
9++,200,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1052,4,0.0038022813688212,0.0,0.01
9++,300,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1052,25,0.023764258555133,0.02,0.03
9++,400,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1051,54,0.0513796384395813,0.04,0.07
9++,500,parallel trees,no heuristic,full expand,no heuristic,0.004,8,850,100,0.1176470588235294,0.1,0.14
9++,600,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1164,302,0.2594501718213058,0.24,0.29
9++,700,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1164,542,0.4656357388316151,0.44,0.49
9++,800,parallel trees,no heuristic,full expand,no heuristic,0.004,8,2082,1110,0.5331412103746398,0.51,0.55
9++,1600,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1124,769,0.6841637010676157,0.66,0.71
9++,100,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,556,2,0.0035971223021582,0.0,0.01
9++,200,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,556,39,0.0701438848920863,0.05,0.09
9++,300,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1592,375,0.2355527638190954,0.22,0.26
9++,400,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1593,510,0.32015065913371,0.3,0.34
9++,500,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1604,668,0.4164588528678304,0.39,0.44
9++,600,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1607,767,0.477286869943995,0.45,0.5
9++,700,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1395,711,0.5096774193548387,0.48,0.54
9++,800,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1593,880,0.5524168236032643,0.53,0.58
9++,1600,parallel trees,no heuristic,square ratio,no heuristic,0.004,8,1669,1152,0.6902336728579987,0.67,0.71
9+,100,normal,no heuristic,full expand,no heuristic,0.004,8,2254,26,0.0115350488021295,0.01,0.02
9+,200,normal,no heuristic,full expand,no heuristic,0.004,8,2254,95,0.0421472937000887,0.03,0.05
9+,300,normal,no heuristic,full expand,no heuristic,0.004,8,2254,191,0.0847382431233362,0.07,0.1
9+,400,normal,no heuristic,full expand,no heuristic,0.004,8,2871,262,0.0912574016022291,0.08,0.1
9+,500,normal,no heuristic,full expand,no heuristic,0.004,8,2049,229,0.1117618350414836,0.1,0.13
9+,600,normal,no heuristic,full expand,no heuristic,0.004,8,2049,267,0.130307467057101,0.12,0.15
9+,700,normal,no heuristic,full expand,no heuristic,0.004,8,2049,320,0.1561737432894094,0.14,0.17
9+,800,normal,no heuristic,full expand,no heuristic,0.004,8,2250,369,0.164,0.15,0.18
9+,1600,normal,no heuristic,full expand,no heuristic,0.004,8,2327,578,0.2483884830253545,0.23,0.27
9+,100,normal,no heuristic,full expand,total zombie hp,0.004,8,1541,29,0.0188189487345879,0.01,0.03
9+,200,normal,no heuristic,full expand,total zombie hp,0.004,8,1541,71,0.0460739779364049,0.04,0.06
9+,300,normal,no heuristic,full expand,total zombie hp,0.004,8,1541,144,0.0934458144062297,0.08,0.11
9+,400,normal,no heuristic,full expand,total zombie hp,0.004,8,1540,208,0.135064935064935,0.12,0.15
9+,500,normal,no heuristic,full expand,total zombie hp,0.004,8,1540,207,0.1344155844155844,0.12,0.15
